epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
131,10217.987875280898,0.31459103376280007,0.16571239072985217,0.5843066332137179,1.4596473138848998,1.3916325941480026,1.4290910657077218,1.1128218670549643,0.39504272001845114,0.21257520314295172,0.607617923161403,2.309769e-05,2.309769e-05,2.309769e-05
132,10295.944896629215,0.30829921308754404,0.16239814291525512,0.5726205005494435,1.4742437870237488,1.4055489200894826,1.4433819763647993,1.123950085725514,0.3871418656180821,0.20832369908009268,0.5954655646981748,2.309769e-05,2.309769e-05,2.309769e-05
133,10373.901917977528,0.3021332288257932,0.15915018005695,0.5611680905384546,1.4889862248939862,1.4196044092903775,1.4578157961284472,1.1351895865827693,0.3793990283057205,0.20415722509849082,0.5835562534042114,2.309769e-05,2.309769e-05,2.309769e-05
134,10451.858939325843,0.2960905642492773,0.155967176455811,0.5499447287276855,1.503876087142926,1.433800453383281,1.4723939540897315,1.1465414824485967,0.37181104773960605,0.200074080596521,0.571885128336127,2.309769e-05,2.309769e-05,2.309769e-05
135,10529.815960674157,0.2901687529642918,0.1528478329266948,0.5389458341531318,1.5189148480143553,1.448138457917114,1.4871178936306289,1.1580068972730828,0.3643748267848139,0.1960725989845906,0.5604474257694045,2.309769e-05,2.309769e-05,2.309769e-05
136,10607.772982022472,0.28436537790500593,0.14979087626816087,0.5281669174700692,1.534103996494499,1.462619842496285,1.5019890725669351,1.1695869662458136,0.35708733024911765,0.19215114700489874,0.5492384772540164,2.309769e-05,2.309769e-05,2.309769e-05
137,10685.730003370787,0.2786780703469058,0.14679505874279766,0.5176035791206678,1.5494450364594439,1.477246040921248,1.5170089632926047,1.1812828359082719,0.3499455836441353,0.1883081240648008,0.5382537077089361,2.309769e-05,2.309769e-05,2.309769e-05
138,10763.687024719102,0.2731045089399677,0.14385915756794174,0.5072515075382544,1.5649394868240385,1.4920185013304605,1.5321790529255308,1.1930956642673545,0.3429466719712526,0.18454196158350478,0.5274886335547574,2.309769e-05,2.309769e-05,2.309769e-05
139,10841.644046067417,0.26764241876116834,0.1409819744165829,0.4971064773874893,1.5805888816922786,1.506938686343765,1.547500843454786,1.205026620910028,0.33608773853182755,0.18085112235183468,0.5169388608836623,2.309769e-05,2.309769e-05,2.309769e-05
140,10919.60106741573,0.26228957038594497,0.13816233492825122,0.48716434783973955,1.5963947705092016,1.5220080732072028,1.562975851889334,1.2170768871191284,0.329365983761191,0.177234099904798,0.506600083665989,2.309769e-05,2.309769e-05,2.309769e-05
141,10997.558088764046,0.25704377897822606,0.1353990882296862,0.4774210608829447,1.6123587182142936,1.5372281539392747,1.5786056104082271,1.2292476559903196,0.32277866408596717,0.173689417906702,0.49646808199266923,2.309769e-05,2.309769e-05,2.309769e-05
142,11075.51511011236,0.2519029033986615,0.13269110646509244,0.46787263966528575,1.6284823053964366,1.5526004354786676,1.5943916665123095,1.2415401325502229,0.31632309080424775,0.17021562954856795,0.48653872035281576,2.309769e-05,2.309769e-05,2.309769e-05
143,11153.472131460674,0.24686484533068825,0.1300372843357906,0.45851518687198006,1.6447671284504009,1.5681264398334542,1.6103355831774326,1.2539555338757251,0.3099966289881628,0.16681131695759657,0.4768079459457594,2.309769e-05,2.309769e-05,2.309769e-05
144,11231.429152808989,0.2419275484240745,0.12743653864907478,0.4493448831345404,1.661214799734905,1.5838077042317888,1.6264389390092069,1.2664950892144824,0.30379669640839957,0.16347509061844465,0.46727178702684424,2.309769e-05,2.309769e-05,2.309769e-05
